fold,test_mse,test_mae,test_r2
0,2957.935,38.720306,0.918781176436562
1,4466.963,47.272583,0.8533279212346517
2,2676.9287,37.92995,0.8974886800485593
3,3591.8762,44.82523,0.8821476908538248
4,4792.9624,48.126602,0.8419976217957443
5,2636.1262,40.89797,0.8935759368479448
mean,3520.465,42.96211,0.88121986
